state,county,tract,block group,Age1,Age2
53,33,100,1000,0,0
53,33,100,1001,0,1
53,33,100,1002,5,64
53,33,100,1003,0,0
53,33,100,1004,0,0
53,33,100,1005,0,0
53,33,100,1006,7,71
53,33,100,1007,0,0
53,33,100,1008,0,0
53,33,100,1009,6,12
53,33,100,1010,0,24
53,33,100,1011,8,56
53,33,100,1012,6,27
53,33,100,1013,22,49
53,33,100,1014,4,9
53,33,100,1015,41,155
53,33,100,1016,9,75
53,33,100,1017,5,28
53,33,100,1018,21,96
53,33,100,1019,0,0
53,33,100,1020,9,98
53,33,100,1021,12,99
53,33,100,1022,9,13
53,33,100,1023,0,0
53,33,100,1024,17,48
53,33,100,1025,14,37
53,33,100,1026,7,39
53,33,100,1027,13,34
53,33,100,1028,0,0
53,33,100,2000,6,38
53,33,100,2001,7,38
53,33,100,2002,9,31
53,33,100,2003,16,41
53,33,100,2004,12,35
53,33,100,2005,7,23
53,33,100,2006,119,550
53,33,100,2007,20,34
53,33,100,2008,0,0
53,33,100,2009,0,0
53,33,100,2010,10,101
53,33,100,2011,8,66
53,33,100,2012,7,44
53,33,100,3000,19,98
53,33,100,3001,38,165
53,33,100,3002,17,67
53,33,100,3003,42,365
53,33,100,3004,44,280
53,33,100,3005,46,150
53,33,100,4000,24,137
53,33,100,4001,174,424
53,33,100,4002,110,433
53,33,100,4003,29,161
53,33,100,5000,6,17
53,33,100,5001,11,80
53,33,100,5002,6,39
53,33,100,5003,7,31
53,33,100,5004,6,232
53,33,100,5005,21,457
53,33,100,5006,0,0
53,33,200,1000,33,89
53,33,200,1001,4,29
53,33,200,1002,5,44
53,33,200,1003,13,33
53,33,200,1004,9,35
53,33,200,1005,7,34
53,33,200,1006,11,44
53,33,200,1007,12,50
53,33,200,1008,21,85
53,33,200,1009,5,24
53,33,200,1010,10,41
53,33,200,1011,7,26
53,33,200,1012,3,19
53,33,200,1013,5,17
53,33,200,1014,8,71
53,33,200,1015,10,27
53,33,200,1016,17,50
53,33,200,1017,15,55
53,33,200,1018,26,77
53,33,200,2000,11,57
53,33,200,2001,10,48
53,33,200,2002,25,78
53,33,200,2003,1,15
53,33,200,2004,38,193
53,33,200,2005,15,45
53,33,200,2006,10,36
53,33,200,2007,5,50
53,33,200,2008,14,51
53,33,200,2009,9,52
53,33,200,2010,7,39
53,33,200,2011,6,38
53,33,200,2012,71,226
53,33,200,2013,0,0
53,33,200,2014,12,85
53,33,200,2015,15,95
53,33,200,3000,98,751
53,33,200,3001,17,111
53,33,200,3002,0,0
53,33,200,3003,11,35
53,33,200,3004,1,26
53,33,200,3005,19,97
