county,tract,bg,state,pumano,stateabb,countyname
int,int,int,int,int,text,text
33,1600,2008,53,1801,WA,King
33,5600,4003,53,1803,WA,King
33,28402,4041,53,2005,WA,King
33,28300,3022,53,2005,WA,King
33,29001,3002,53,2007,WA,King
33,20600,4004,53,2001,WA,King
33,10800,2010,53,1805,WA,King
33,28902,2003,53,2007,WA,King
33,29001,4010,53,2007,WA,King
33,29003,2002,53,2007,WA,King
33,28902,3001,53,2007,WA,King
33,7300,3034,53,1803,WA,King
33,9300,2017,53,1805,WA,King
33,4400,3001,53,1802,WA,King
33,2200,2014,53,1802,WA,King
33,2200,4024,53,1802,WA,King
33,2200,1016,53,1802,WA,King
33,10900,2041,53,1805,WA,King
33,10900,2004,53,1805,WA,King
33,10900,2058,53,1805,WA,King
33,4000,2005,53,1802,WA,King
33,3900,2009,53,1802,WA,King
33,4200,1011,53,1802,WA,King
33,4200,1015,53,1802,WA,King
33,5400,3026,53,1801,WA,King
33,5700,1020,53,1803,WA,King
33,500,3015,53,1801,WA,King
33,28300,3052,53,2005,WA,King
33,29102,3014,53,2006,WA,King
33,28300,3088,53,2005,WA,King
33,29408,1008,53,2006,WA,King
33,5400,2004,53,1801,WA,King
33,6400,2009,53,1803,WA,King
33,29802,2005,53,2006,WA,King
33,11700,2013,53,1805,WA,King
33,29204,2003,53,2006,WA,King
33,11002,2020,53,1805,WA,King
33,11002,2018,53,1805,WA,King
33,11002,2032,53,1805,WA,King
33,11600,1016,53,1805,WA,King
33,9900,1015,53,1805,WA,King
33,27600,1008,53,2005,WA,King
33,11200,1012,53,1805,WA,King
33,26100,4017,53,2004,WA,King
33,26300,1017,53,1805,WA,King
33,11900,5002,53,1804,WA,King
33,27000,2008,53,2005,WA,King
33,27400,4011,53,2005,WA,King
33,3500,1016,53,1801,WA,King
33,1600,3016,53,1801,WA,King
33,3100,1012,53,1801,WA,King
33,3100,2015,53,1801,WA,King
33,6400,2005,53,1804,WA,King
33,6300,3004,53,1804,WA,King
33,6700,1013,53,1803,WA,King
33,4301,3009,53,1802,WA,King
33,800,2019,53,1802,WA,King
33,29001,3003,53,2007,WA,King
33,1500,2007,53,1801,WA,King
33,20700,3007,53,2001,WA,King
33,29001,4009,53,2007,WA,King
33,29001,4012,53,2007,WA,King
33,29004,1030,53,2007,WA,King
33,29004,1034,53,2006,WA,King
33,29102,2004,53,2006,WA,King
33,4301,3018,53,1802,WA,King
33,4302,1004,53,1802,WA,King
33,2500,2008,53,1802,WA,King
33,3800,2005,53,1802,WA,King
33,900,1013,53,1802,WA,King
33,26801,3002,53,2005,WA,King
33,9300,3111,53,1805,WA,King
33,10402,1009,53,1805,WA,King
33,10900,2063,53,1805,WA,King
33,4000,2017,53,1802,WA,King
33,4200,1006,53,1802,WA,King
33,4200,1005,53,1802,WA,King
33,11600,3000,53,1805,WA,King
33,9400,2053,53,1805,WA,King
33,6700,4026,53,1803,WA,King
33,21000,5003,53,2001,WA,King
33,28300,3021,53,2005,WA,King
33,1200,4003,53,1802,WA,King
33,3600,2000,53,1801,WA,King
33,28802,3006,53,2007,WA,King
33,29305,2003,53,2006,WA,King
33,9500,3029,53,1804,WA,King
33,3500,2002,53,1801,WA,King
33,29203,1037,53,2006,WA,King
33,11401,1008,53,1805,WA,King
33,11200,2048,53,1805,WA,King
33,26001,1027,53,2004,WA,King
33,20100,3008,53,2001,WA,King
33,600,3011,53,1801,WA,King
33,26400,1028,53,2005,WA,King
33,9300,1019,53,1805,WA,King
33,9300,1014,53,1805,WA,King
33,26200,1123,53,2005,WA,King
33,28402,4001,53,2005,WA,King
33,27800,1001,53,2005,WA,King
33,27900,6004,53,2005,WA,King
33,27900,6013,53,2005,WA,King
33,27900,6016,53,2005,WA,King
33,27900,5004,53,2005,WA,King
33,27900,5008,53,2005,WA,King
33,27500,1020,53,2005,WA,King
33,27500,3017,53,2005,WA,King
33,27900,1028,53,2005,WA,King
33,27900,1010,53,2005,WA,King
33,27900,1030,53,2005,WA,King
33,27900,4012,53,2005,WA,King
33,27400,1003,53,2005,WA,King
33,27400,1004,53,2005,WA,King
33,27400,1013,53,2005,WA,King
33,27500,2013,53,2005,WA,King
33,9702,2012,53,1805,WA,King
33,4900,5018,53,1801,WA,King
33,7500,4009,53,1804,WA,King
33,9300,2058,53,1805,WA,King
33,8700,1025,53,1804,WA,King
33,3900,1004,53,1802,WA,King
33,4100,2030,53,1802,WA,King
33,4100,2018,53,1802,WA,King
33,20300,2014,53,2001,WA,King
33,28801,2032,53,2005,WA,King
33,28801,2028,53,2005,WA,King
33,28801,1008,53,2005,WA,King
33,28801,1016,53,2005,WA,King
33,28901,4008,53,2007,WA,King
33,28901,2013,53,2007,WA,King
33,28901,2005,53,2007,WA,King
33,28901,1010,53,2007,WA,King
33,29102,1003,53,2006,WA,King
33,9702,2014,53,1805,WA,King
33,9702,3010,53,1805,WA,King
33,9702,3002,53,1805,WA,King
33,2400,3002,53,1802,WA,King
33,4200,5005,53,1802,WA,King
33,3800,1007,53,1802,WA,King
33,3800,1005,53,1802,WA,King
33,26500,2013,53,2005,WA,King
33,26500,2012,53,2005,WA,King
33,9300,3187,53,1805,WA,King
33,10402,1005,53,1805,WA,King
33,10900,1016,53,1805,WA,King
33,10900,1007,53,1805,WA,King
33,10900,2094,53,1805,WA,King
33,4200,1012,53,1802,WA,King
33,4100,4010,53,1802,WA,King
33,4100,4003,53,1802,WA,King
33,2700,2010,53,1801,WA,King
33,28802,1005,53,2005,WA,King
33,28200,2008,53,2005,WA,King
33,26200,1140,53,2005,WA,King
33,29700,2022,53,2008,WA,King
33,7000,6011,53,1803,WA,King
33,8600,2013,53,1804,WA,King
33,7800,2007,53,1804,WA,King
33,20600,3005,53,2001,WA,King
33,4500,2018,53,1802,WA,King
33,29102,1005,53,2006,WA,King
33,700,4017,53,1801,WA,King
33,6300,4004,53,1804,WA,King
33,11700,3008,53,1805,WA,King
33,5400,4019,53,1801,WA,King
33,29700,4055,53,2008,WA,King
33,26700,2001,53,2005,WA,King
33,27500,2001,53,2005,WA,King
33,26802,2000,53,2005,WA,King
33,29602,1007,53,2008,WA,King
33,26400,1033,53,2005,WA,King
33,28600,5028,53,2005,WA,King
33,29203,1057,53,2006,WA,King
33,29700,3038,53,2006,WA,King
33,29700,1001,53,2006,WA,King
33,29700,1004,53,2006,WA,King
33,29700,1027,53,2006,WA,King
33,29407,1006,53,2006,WA,King
33,29407,3013,53,2006,WA,King
33,29403,1018,53,2006,WA,King
33,29408,2006,53,2006,WA,King
33,29408,2004,53,2006,WA,King
33,27500,2017,53,2005,WA,King
33,28000,3007,53,2005,WA,King
33,27900,2007,53,2005,WA,King
33,9200,2033,53,1803,WA,King
33,27800,3005,53,2005,WA,King
33,7800,1055,53,1804,WA,King
33,9400,3018,53,1805,WA,King
33,28700,4008,53,2005,WA,King
33,6200,1019,53,1804,WA,King
33,9100,1004,53,1803,WA,King
33,29102,1007,53,2007,WA,King
33,28402,1005,53,2005,WA,King
33,28402,1006,53,2005,WA,King
33,28402,3005,53,2005,WA,King
33,28402,4058,53,2005,WA,King
33,28402,3002,53,2005,WA,King
33,28402,2010,53,2005,WA,King
33,28300,2006,53,2005,WA,King
33,28901,1011,53,2007,WA,King
33,29001,2008,53,2007,WA,King
33,29001,2004,53,2007,WA,King
33,9800,4020,53,1805,WA,King
33,9800,5012,53,1805,WA,King
33,9800,3008,53,1805,WA,King
33,3800,2013,53,1802,WA,King
33,4301,2012,53,1802,WA,King
33,4302,2005,53,1802,WA,King
33,11402,3011,53,1805,WA,King
33,11402,3002,53,1805,WA,King
33,9300,3204,53,1805,WA,King
33,10900,2029,53,1805,WA,King
33,10900,2053,53,1805,WA,King
33,10900,2008,53,1805,WA,King
33,10900,1023,53,1805,WA,King
33,700,3006,53,1802,WA,King
33,4200,1021,53,1802,WA,King
33,4100,4013,53,1802,WA,King
33,6600,1023,53,1803,WA,King
33,6100,1009,53,1803,WA,King
33,4800,3021,53,1801,WA,King
33,21500,3016,53,2001,WA,King
33,9300,2042,53,1805,WA,King
33,9600,1001,53,1805,WA,King
33,28300,1000,53,2005,WA,King
33,10401,2028,53,1804,WA,King
33,26500,3009,53,2005,WA,King
33,6600,1031,53,1803,WA,King
33,29001,1004,53,2007,WA,King
33,21500,4007,53,2001,WA,King
33,29801,4012,53,2006,WA,King
33,1300,1003,53,1801,WA,King
33,5700,5008,53,1803,WA,King
33,9600,1003,53,1805,WA,King
33,10200,3014,53,1804,WA,King
33,10402,3019,53,1805,WA,King
33,29304,4009,53,2004,WA,King
33,12000,2005,53,1805,WA,King
33,10600,1015,53,1805,WA,King
33,10800,1006,53,1805,WA,King
33,10800,1007,53,1805,WA,King
33,10800,1034,53,1805,WA,King
33,29307,3013,53,2006,WA,King
33,5400,4018,53,1801,WA,King
33,3200,6019,53,1801,WA,King
33,28700,3012,53,2005,WA,King
33,28700,1015,53,2005,WA,King
33,29304,1005,53,2004,WA,King
33,27300,2002,53,2005,WA,King
33,28200,1004,53,2005,WA,King
33,28402,3017,53,2005,WA,King
33,28403,1000,53,2005,WA,King
33,9800,2006,53,1805,WA,King
