state,PUMANO,HHID,serialno,PNUM,AgeGrp
53,1001,1337032,1337032,1,2
53,1001,1337032,1337032,2,2
53,1001,1332395,1332395,1,2
53,1001,1304017,1304017,1,2
53,1001,1304017,1304017,2,2
53,1001,1412481,1412481,1,2
53,1001,1332351,1332351,1,2
53,1001,1251597,1251597,1,2
53,1001,1251597,1251597,2,2
53,1001,1342640,1342640,1,2
53,1001,1342640,1342640,2,2
53,1001,1342640,1342640,3,1
53,1001,1342640,1342640,4,1
53,1001,1357841,1357841,1,2
53,1001,1393116,1393116,1,2
53,1001,1263602,1263602,1,2
53,1001,1263602,1263602,2,2
53,1001,1263602,1263602,3,2
53,1001,1263602,1263602,4,2
53,1001,1277411,1277411,1,2
53,1001,1299033,1299033,1,2
53,1001,1299033,1299033,2,2
53,1001,1335418,1335418,1,2
53,1001,1335418,1335418,2,1
53,1001,1311401,1311401,1,2
53,1001,1311401,1311401,2,2
53,1001,1311401,1311401,3,1
53,1001,1311401,1311401,4,1
53,1001,1341296,1341296,1,2
53,1001,1341296,1341296,2,2
53,1001,1311501,1311501,1,2
53,1001,1311501,1311501,2,2
53,1001,1311501,1311501,3,1
53,1001,1311501,1311501,4,1
53,1001,1250846,1250846,1,2
53,1001,1341794,1341794,1,2
53,1001,1292304,1292304,1,2
53,1001,1409032,1409032,1,2
53,1001,1409032,1409032,2,2
53,1001,1409032,1409032,3,1
53,1001,1409032,1409032,4,1
53,1001,1362034,1362034,1,2
53,1001,1362034,1362034,2,1
53,1001,1362034,1362034,3,2
53,1001,1287239,1287239,1,2
53,1001,1287239,1287239,2,2
53,1001,1301002,1301002,1,2
53,1001,1301002,1301002,2,2
53,1001,1316121,1316121,1,2
53,1001,1316121,1316121,2,2
53,1001,1386603,1386603,1,2
53,1001,1250231,1250231,1,2
53,1001,1250231,1250231,2,2
53,1001,1250231,1250231,3,2
53,1001,1311085,1311085,1,2
53,1001,1311085,1311085,2,2
53,1001,1311085,1311085,3,1
53,1001,1311085,1311085,4,1
53,1001,1378244,1378244,1,2
53,1001,1378244,1378244,2,2
53,1001,1378244,1378244,3,1
53,1001,1378244,1378244,4,1
53,1001,1270160,1270160,1,2
53,1001,1353391,1353391,1,2
53,1001,1257698,1257698,1,2
53,1001,1257698,1257698,2,2
53,1001,1257698,1257698,3,1
53,1001,1257698,1257698,4,1
53,1001,1273903,1273903,1,2
53,1001,1273903,1273903,2,2
53,1001,1308492,1308492,1,2
53,1001,1308492,1308492,2,2
53,1001,1308492,1308492,3,2
53,1001,1308492,1308492,4,2
53,1001,1274093,1274093,1,2
53,1001,1274093,1274093,2,2
53,1001,1256862,1256862,1,2
53,1001,1256862,1256862,2,2
53,1001,1256862,1256862,3,1
53,1001,1256862,1256862,4,1
53,1001,1256862,1256862,5,2
53,1001,1256862,1256862,6,2
53,1001,1256862,1256862,7,2
53,1001,1304915,1304915,1,2
53,1001,1304915,1304915,2,2
53,1001,1352246,1352246,1,2
53,1001,1352246,1352246,2,2
53,1001,1352246,1352246,3,1
53,1001,1352246,1352246,4,1
53,1001,1407236,1407236,1,2
53,1001,1411404,1411404,1,2
53,1001,1366700,1366700,1,2
53,1001,1388513,1388513,1,2
53,1001,1388513,1388513,2,2
53,1001,1352761,1352761,1,2
53,1001,1346973,1346973,1,2
53,1001,1396129,1396129,1,2
53,1001,1396129,1396129,2,2
53,1001,1396129,1396129,3,2
53,1001,1396129,1396129,4,2
53,1001,1398581,1398581,1,2
53,1001,1407997,1407997,1,2
53,1001,1407997,1407997,2,2
53,1001,1407997,1407997,3,2
53,1001,1407997,1407997,4,2
53,1001,1405840,1405840,1,2
53,1001,1242966,1242966,1,2
53,1001,1242966,1242966,2,2
53,1001,1349289,1349289,1,2
53,1001,1247860,1247860,1,2
53,1001,1411839,1411839,1,2
53,1001,1411839,1411839,2,2
53,1001,1279924,1279924,1,2
53,1001,1279924,1279924,2,2
53,1001,1377902,1377902,1,2
53,1001,1377902,1377902,2,2
53,1001,1370841,1370841,1,2
53,1001,1320361,1320361,1,2
53,1001,1320361,1320361,2,2
53,1001,1320361,1320361,3,2
53,1001,1283022,1283022,1,2
53,1001,1283022,1283022,2,2
53,1001,1265153,1265153,1,2
53,1001,1391276,1391276,1,2
53,1001,1391276,1391276,2,2
53,1001,1391276,1391276,3,1
53,1001,1391276,1391276,4,1
53,1001,1375033,1375033,1,2
53,1001,1375033,1375033,2,2
53,1001,1375033,1375033,3,2
53,1001,1375033,1375033,4,1
53,1001,1375033,1375033,5,1
53,1001,1365560,1365560,1,2
53,1001,1365560,1365560,2,2
53,1001,1365560,1365560,3,2
53,1001,1371426,1371426,1,2
53,1001,1378678,1378678,1,2
53,1001,1253729,1253729,1,2
53,1001,1253729,1253729,2,1
53,1001,1253729,1253729,3,2
53,1001,1245501,1245501,1,2
53,1001,1318222,1318222,1,2
53,1001,1284440,1284440,1,2
53,1001,1284440,1284440,2,1
53,1001,1284440,1284440,3,2
53,1001,1284440,1284440,4,2
53,1001,1353483,1353483,1,2
53,1001,1332229,1332229,1,2
53,1001,1332229,1332229,2,2
53,1001,1332229,1332229,3,2
53,1001,264370,264370,1,2
53,1001,264370,264370,2,2
53,1001,194192,194192,1,2
53,1001,167682,167682,1,2
53,1001,167682,167682,2,2
53,1001,509652,509652,1,2
53,1001,399407,399407,1,2
53,1001,399407,399407,2,2
53,1001,399407,399407,3,1
53,1001,399407,399407,4,1
53,1001,563422,563422,1,2
53,1001,563422,563422,2,1
53,1001,563422,563422,3,1
53,1001,563422,563422,4,1
53,1001,563422,563422,5,1
53,1001,477627,477627,1,2
53,1001,500130,500130,1,2
53,1001,500130,500130,2,2
53,1001,524842,524842,1,2
53,1001,583499,583499,1,2
53,1001,400300,400300,1,2
53,1001,417967,417967,1,2
53,1001,417967,417967,2,2
53,1001,417967,417967,3,1
53,1001,394011,394011,1,2
53,1001,168769,168769,1,2
53,1001,375406,375406,1,2
53,1001,375406,375406,2,2
53,1001,216489,216489,1,2
53,1001,216489,216489,2,2
53,1001,216489,216489,3,2
53,1001,14649,14649,1,2
53,1001,14649,14649,2,2
53,1001,14649,14649,3,1
53,1001,286822,286822,1,2
53,1001,92208,92208,1,2
53,1001,92208,92208,2,2
53,1001,167957,167957,1,2
53,1001,167976,167976,1,2
53,1001,418732,418732,1,2
53,1001,85273,85273,1,2
53,1001,85273,85273,2,1
53,1001,85273,85273,3,1
53,1001,220682,220682,1,2
53,1001,220682,220682,2,2
53,1001,220682,220682,3,1
53,1001,220682,220682,4,1
53,1001,290659,290659,1,2
53,1001,290659,290659,2,2
53,1001,290659,290659,3,1
53,1001,290659,290659,4,1
53,1001,290659,290659,5,1
53,1001,189230,189230,1,2
53,1001,189230,189230,2,2
53,1001,189230,189230,3,2
53,1001,189230,189230,4,2
53,1001,129730,129730,1,2
53,1001,129730,129730,2,2
53,1001,129730,129730,3,1
53,1001,129730,129730,4,1
53,1001,129730,129730,5,1
53,1001,386545,386545,1,2
53,1001,386545,386545,2,2
53,1001,386545,386545,3,2
53,1001,386545,386545,4,2
53,1001,386545,386545,5,1
53,1001,386545,386545,6,1
53,1001,386545,386545,7,1
53,1001,386545,386545,8,1
53,1001,386545,386545,9,1
53,1001,386545,386545,10,2
53,1001,399202,399202,1,2
53,1001,399202,399202,2,2
53,1001,113094,113094,1,2
53,1001,113094,113094,2,2
53,1001,113094,113094,3,1
53,1001,113094,113094,4,1
53,1001,113094,113094,5,1
53,1001,190628,190628,1,2
53,1001,486211,486211,1,2
53,1001,261900,261900,1,2
53,1001,397158,397158,1,2
53,1001,397158,397158,2,2
53,1001,397158,397158,3,2
53,1001,222944,222944,1,2
53,1001,222944,222944,2,2
53,1001,222944,222944,3,1
53,1001,222944,222944,4,1
53,1001,222944,222944,5,2
53,1001,325408,325408,1,2
53,1001,325408,325408,2,2
53,1001,325408,325408,3,1
53,1001,325408,325408,4,1
53,1001,325408,325408,5,1
53,1001,325408,325408,6,1
53,1001,325408,325408,7,1
53,1001,86295,86295,1,2
53,1001,86295,86295,2,2
53,1001,86295,86295,3,1
53,1001,270768,270768,1,2
53,1001,777,777,1,2
53,1001,777,777,2,2
53,1001,777,777,3,2
53,1001,292660,292660,1,2
53,1001,370031,370031,1,2
53,1001,370031,370031,2,2
53,1001,56748,56748,1,2
53,1001,56748,56748,2,2
53,1001,224041,224041,1,2
53,1001,224041,224041,2,1
53,1001,224041,224041,3,1
53,1001,224041,224041,4,2
53,1001,424230,424230,1,2
53,1001,424230,424230,2,2
53,1001,424230,424230,3,1
53,1001,424230,424230,4,1
53,1001,276748,276748,1,2
53,1001,276748,276748,2,2
53,1001,276748,276748,3,2
53,1001,191890,191890,1,2
53,1001,28661,28661,1,2
53,1001,28661,28661,2,2
53,1001,28661,28661,3,1
53,1001,611159,611159,1,2
53,1001,611159,611159,2,2
53,1001,611159,611159,3,1
53,1001,337267,337267,1,2
53,1001,337267,337267,2,2
53,1001,337267,337267,3,1
53,1001,337267,337267,4,1
53,1001,567880,567880,1,2
53,1001,58357,58357,1,2
53,1001,58357,58357,2,2
53,1001,58357,58357,3,2
53,1001,58357,58357,4,2
53,1001,578316,578316,1,2
53,1001,578316,578316,2,1
53,1001,614455,614455,1,2
53,1001,614455,614455,2,2
53,1001,611136,611136,1,2
53,1001,611136,611136,2,1
53,1001,611136,611136,3,1
53,1001,134823,134823,1,2
53,1001,134823,134823,2,2
53,1001,17731,17731,1,2
53,1001,17731,17731,2,2
53,1001,17731,17731,3,1
53,1001,17731,17731,4,1
53,1001,102,102,1,2
53,1001,102,102,2,2
53,1001,102,102,3,2
53,1001,102,102,4,2
53,1001,395280,395280,1,2
53,1001,395280,395280,2,2
53,1001,395280,395280,3,1
53,1001,395280,395280,4,1
53,1001,28826,28826,1,2
53,1001,28826,28826,2,2
53,1001,28826,28826,3,1
53,1001,28826,28826,4,1
53,1001,278632,278632,1,2
53,1001,278632,278632,2,2
53,1001,278632,278632,3,2
53,1001,278632,278632,4,1
53,1001,480460,480460,1,2
53,1001,480460,480460,2,2
53,1001,24855,24855,1,2
53,1001,24855,24855,2,2
53,1001,24855,24855,3,2
