state,PUMANO,HHID,serialno,HHSz
53,1001,1342640,1342640,4
53,1001,1186589,1186589,2
53,1001,1229917,1229917,1
53,1001,1311085,1311085,4
53,1001,1184659,1184659,2
53,1001,1211583,1211583,3
53,1001,1092431,1092431,1
53,1001,1068568,1068568,3
53,1001,1388513,1388513,2
53,1001,1212103,1212103,1
53,1001,1257698,1257698,4
53,1001,1203131,1203131,2
53,1001,1223494,1223494,3
53,1001,1311401,1311401,4
53,1001,1065515,1065515,2
53,1001,1136502,1136502,1
53,1001,1299033,1299033,2
53,1001,1218173,1218173,1
53,1001,1211554,1211554,6
53,1001,1311501,1311501,4
53,1001,1253729,1253729,3
53,1001,1357841,1357841,1
53,1001,1335418,1335418,2
53,1001,1353391,1353391,1
53,1001,1353483,1353483,1
53,1001,1242360,1242360,3
53,1001,1194594,1194594,2
53,1001,1411404,1411404,1
53,1001,1250231,1250231,3
53,1001,1231040,1231040,5
53,1001,1207232,1207232,3
53,1001,1245501,1245501,1
53,1001,1247860,1247860,1
53,1001,1213239,1213239,1
53,1001,1301002,1301002,2
53,1001,1110617,1110617,2
53,1001,1341296,1341296,2
53,1001,1123569,1123569,2
53,1001,1131104,1131104,1
53,1001,1054654,1054654,2
53,1001,1273903,1273903,2
53,1001,1274093,1274093,2
53,1001,1370841,1370841,1
53,1001,1318222,1318222,1
53,1001,1195362,1195362,1
53,1001,1251597,1251597,2
53,1001,1119130,1119130,1
53,1001,1411839,1411839,2
53,1001,1188679,1188679,2
53,1001,1150147,1150147,1
53,1001,1208394,1208394,1
53,1001,1337032,1337032,2
53,1001,1194323,1194323,3
53,1001,1086834,1086834,7
53,1001,1119234,1119234,1
53,1001,1097542,1097542,1
53,1001,1393116,1393116,1
53,1001,1055289,1055289,2
53,1001,1199770,1199770,4
53,1001,1095807,1095807,1
53,1001,1365560,1365560,3
53,1001,1128747,1128747,4
53,1001,1137620,1137620,4
53,1001,1224667,1224667,4
53,1001,1332395,1332395,1
53,1001,1398581,1398581,1
53,1001,1279924,1279924,2
53,1001,1292304,1292304,1
53,1001,1161969,1161969,2
53,1001,1080176,1080176,1
53,1001,1137548,1137548,3
53,1001,1128598,1128598,1
53,1001,1242966,1242966,2
53,1001,1162269,1162269,6
53,1001,1170511,1170511,3
53,1001,1263602,1263602,4
53,1001,1409032,1409032,4
53,1001,1256862,1256862,7
53,1001,1104168,1104168,1
53,1001,1092903,1092903,3
53,1001,1059266,1059266,7
53,1001,1127171,1127171,2
53,1001,1287239,1287239,2
53,1001,1371426,1371426,1
53,1001,1155592,1155592,6
